,palabras,repeticiones
0,comfort,2412
1,soft,1446
2,love,1305
3,great,1252
4,warm,871
5,color,801
6,nice,714
7,qualiti,628
8,good,587
9,bed,541
10,wash,540
11,perfect,497
12,like,487
13,price,486
14,look,476
15,light,386
16,just,384
17,weight,383
18,product,381
19,buy,380
20,blanket,373
21,purchas,310
22,bought,307
23,size,285
24,use,284
25,super,282
26,realli,273
27,set,266
28,lightweight,266
29,comfi,266
30,star,258
31,son,252
32,feel,241
33,order,231
34,room,219
35,fit,208
36,recommend,189
37,happi,186
38,come,186
39,cozi,180
40,time,174
41,expect,171
42,want,170
43,heavi,169
44,king,162
45,beauti,160
46,black,159
47,im,156
48,valu,147
49,got,146
50,night,144
51,keep,141
52,pillow,135
53,definit,134
54,cover,133
55,sleep,130
56,dorm,130
57,need,129
58,worth,127
59,best,123
60,exactli,122
61,amaz,122
62,littl,120
63,excel,117
64,money,117
65,sheet,117
66,pretti,116
67,fabric,115
68,colleg,114
69,fluffi,112
70,dont,111
71,twin,111
72,pictur,110
73,daughter,110
74,right,108
75,winter,105
76,year,104
77,blue,103
78,sham,102
79,came,101
80,materi,100
81,hot,100
82,new,98
83,easi,98
84,ive,97
85,work,94
86,pleas,93
87,doe,90
88,doesnt,89
89,make,88
90,queen,88
91,absolut,87
92,perfectli,87
93,better,86
94,far,86
95,did,85
96,cold,85
97,item,84
98,red,83
99,awesom,82
100,month,78
101,say,77
102,differ,77
103,dri,72
104,home,71
105,match,70
106,warmth,68
107,summer,68
108,true,68
109,review,67
110,arriv,67
111,old,65
112,thought,65
113,hold,65
114,bedroom,65
115,didnt,64
116,stitch,64
117,disappoint,63
118,case,63
119,packag,62
120,2,61
121,stuf,61
122,get,61
123,overs,61
124,kid,61
125,receiv,60
126,hope,59
127,way,59
128,return,59
129,highli,59
130,bit,58
131,havent,58
132,extra,57
133,big,56
134,day,56
135,mattress,56
136,wonder,55
137,guest,55
138,describ,55
139,sure,54
140,dark,54
141,3,54
142,long,54
143,gift,54
144,xl,53
145,thank,52
146,stay,52
147,bare,52
148,grey,51
149,duvet,51
150,start,51
151,apart,51
152,5,51
153,durabl,51
154,open,50
155,amazon,50
156,clean,50
157,actual,50
158,extrem,50
159,go,49
160,cool,49
161,cheap,47
162,wish,47
163,satisfi,47
164,thing,46
165,husband,46
166,reason,45
167,thread,45
168,fall,45
169,problem,44
170,issu,44
171,fast,43
172,ship,43
173,navi,42
174,impress,41
175,poor,41
176,small,41
177,advertis,41
178,christma,41
179,dryer,40
180,week,40
181,think,40
182,tri,39
183,hang,39
184,rip,39
185,second,38
186,washer,38
187,know,38
188,high,38
189,surpris,38
190,bright,38
191,deal,37
192,said,37
193,lot,37
194,vibrant,37
195,machin,37
196,place,36
197,photo,36
198,side,36
199,bag,36
200,isnt,35
201,fine,34
202,wont,34
203,bad,34
204,fill,34
205,wasnt,33
206,live,33
207,orang,33
208,easili,33
209,overal,32
210,lighter,32
211,compani,32
212,boy,32
213,low,32
214,dog,32
215,hole,32
216,altern,32
217,plush,31
218,wrinkl,31
219,your,30
220,quickli,30
221,notic,30
222,quilt,30
223,decent,30
224,green,30
225,white,30
226,tv,29
227,box,29
228,end,29
229,insid,29
230,id,29
231,cost,29
232,heat,29
233,larg,29
234,sweat,29
235,pull,29
236,expens,28
237,seam,28
238,custom,28
239,lint,28
240,pay,28
241,throw,28
242,glad,28
243,weather,28
244,hous,28
245,rich,28
246,heavier,27
247,read,27
248,loos,27
249,servic,27
250,slept,26
251,that,26
252,fade,26
253,wouldnt,26
254,coupl,26
255,stain,26
256,stick,25
257,help,25
258,appear,25
259,quit,25
260,gray,25
261,complet,25
262,unfortun,25
263,especi,25
264,seller,25
265,grandson,25
266,person,24
267,seal,24
268,touch,24
269,granddaught,24
270,warmer,24
271,fluff,24
272,4,24
273,favorit,24
274,1,23
275,updat,23
276,took,23
277,brand,23
278,away,23
279,vacuum,23
280,deliveri,23
281,wrong,23
282,ok,23
283,fantast,22
284,piec,22
285,have,22
286,ill,22
287,probabl,22
288,gave,22
289,teenag,22
290,season,22
291,tear,21
292,simpl,21
293,went,21
294,complaint,21
295,decor,21
296,descript,21
297,pillowcas,21
298,afford,21
299,care,21
300,final,21
301,smell,21
302,breathabl,21
303,plan,21
304,includ,20
305,turn,20
306,let,20
307,soon,20
308,longer,20
309,horribl,20
310,replac,20
311,chang,20
312,hard,20
313,bunch,20
314,own,20
315,give,20
316,load,19
317,felt,19
318,100,19
319,peopl,19
320,cat,19
321,onlin,19
322,mayb,19
323,job,19
324,abl,19
325,thick,19
326,held,19
327,spend,19
328,compar,18
329,goe,18
330,gener,18
331,kept,18
332,cotton,18
333,terribl,18
334,pill,18
335,pleasantli,18
336,california,18
337,choic,18
338,inch,18
339,mom,18
340,point,17
341,instead,17
342,instruct,17
343,lay,17
344,washabl,17
345,run,17
346,regular,17
347,theyr,17
348,edg,17
349,wife,17
350,worri,17
351,deep,17
352,bedspread,17
353,cloud,17
354,teen,17
355,luxuri,17
356,devic,16
357,version,16
358,app,16
359,miss,16
360,decid,16
361,spare,16
362,temp,16
363,beat,16
364,wow,16
